horas_estudio,asistencia,participacion_parental,acceso_a_recursos,actividades_extracurriculares,horas_suenio,calificaciones_previas,nivel_motivacion,acceso_internet,sesiones_tutoria,ingreso_familiar,calidad_profesorado,tipo_escuela,influencia_companieros,actividad_fisica,discapacidad_aprendizaje,nivel_estudio_padres,distancia,genero,puntaje_examen
25,98,bajo,elevado,si,8,56,medio,no,0,medio,elevado,privado,neutral,3,no,posgrado,cercano,hombre,71
28,66,medio,elevado,si,8,97,medio,si,0,medio,bajo,publico,neutral,2,no,preparatoria,cercano,hombre,68
20,86,medio,bajo,si,8,89,medio,si,1,bajo,medio,publico,negativo,3,no,posgrado,cercano,hombre,69
26,75,bajo,elevado,si,4,81,elevado,si,3,medio,elevado,privado,positivo,2,no,preparatoria,moderado,hombre,70
22,98,medio,elevado,no,5,69,bajo,no,1,bajo,elevado,publico,negativo,4,no,preparatoria,moderado,mujer,69
16,73,medio,bajo,no,7,95,medio,si,1,bajo,medio,publico,negativo,4,no,universidad,cercano,hombre,65
22,98,medio,bajo,si,7,52,medio,no,3,medio,bajo,publico,positivo,3,no,universidad,cercano,mujer,70
29,96,medio,bajo,si,7,72,medio,si,1,bajo,medio,publico,positivo,3,no,preparatoria,moderado,hombre,71
20,71,medio,bajo,si,7,88,medio,si,1,bajo,bajo,publico,neutral,4,no,universidad,cercano,mujer,65
29,92,bajo,medio,no,4,91,medio,si,2,medio,bajo,publico,negativo,1,no,posgrado,cercano,mujer,72
4,100,elevado,elevado,si,8,60,elevado,si,0,medio,elevado,privado,positivo,4,no,universidad,moderado,hombre,69
25,70,medio,bajo,no,7,52,medio,si,1,medio,bajo,publico,positivo,3,no,posgrado,cercano,mujer,66
21,77,bajo,medio,si,7,90,medio,si,4,medio,bajo,privado,neutral,3,no,posgrado,moderado,hombre,68
18,81,elevado,bajo,si,8,71,medio,si,0,medio,bajo,publico,neutral,3,no,preparatoria,moderado,mujer,65
21,72,medio,bajo,si,5,57,medio,si,1,elevado,medio,publico,neutral,5,si,universidad,moderado,hombre,64
8,61,medio,bajo,si,7,54,medio,si,1,elevado,medio,publico,positivo,3,no,universidad,cercano,hombre,60
19,69,medio,elevado,si,7,82,elevado,si,1,bajo,medio,publico,negativo,2,no,preparatoria,cercano,hombre,65
22,71,elevado,medio,no,6,79,elevado,si,1,bajo,bajo,publico,positivo,3,no,preparatoria,cercano,hombre,66
29,78,elevado,elevado,si,4,93,bajo,si,5,medio,elevado,publico,neutral,3,no,universidad,cercano,hombre,74
17,67,medio,bajo,si,5,52,elevado,si,2,medio,bajo,privado,negativo,3,no,preparatoria,lejano,mujer,62
15,95,medio,bajo,no,7,93,medio,si,2,bajo,medio,publico,positivo,4,no,universidad,moderado,hombre,70
17,88,medio,elevado,si,7,94,bajo,si,0,medio,bajo,publico,neutral,3,no,preparatoria,cercano,hombre,69
25,63,medio,elevado,si,7,72,medio,si,3,medio,elevado,privado,negativo,4,no,universidad,lejano,hombre,67
22,86,bajo,bajo,no,6,54,medio,si,2,medio,bajo,publico,neutral,0,no,preparatoria,moderado,hombre,64
17,86,medio,elevado,no,5,97,elevado,si,3,elevado,medio,publico,neutral,3,no,universidad,cercano,hombre,71
23,98,medio,bajo,si,7,54,bajo,si,0,medio,bajo,publico,negativo,3,no,universidad,cercano,mujer,68
21,60,elevado,medio,no,7,80,medio,si,0,medio,elevado,publico,neutral,4,si,universidad,cercano,hombre,64
26,70,medio,bajo,si,8,75,medio,si,1,medio,bajo,privado,neutral,4,si,preparatoria,lejano,mujer,63
16,97,medio,bajo,si,6,92,bajo,si,0,elevado,medio,privado,positivo,4,no,universidad,cercano,hombre,71
18,97,elevado,medio,si,4,75,bajo,si,0,bajo,medio,publico,positivo,3,no,preparatoria,moderado,hombre,69
18,89,elevado,medio,si,4,73,medio,si,3,elevado,medio,privado,positivo,2,no,universidad,cercano,mujer,100
11,91,medio,bajo,no,6,94,medio,si,3,medio,bajo,publico,neutral,3,no,universidad,moderado,hombre,68
22,64,bajo,medio,no,7,98,bajo,no,1,medio,bajo,publico,negativo,3,no,preparatoria,cercano,hombre,62
22,81,medio,bajo,si,7,77,bajo,si,2,medio,bajo,publico,positivo,3,no,posgrado,lejano,mujer,68
20,69,elevado,elevado,si,6,73,medio,si,2,bajo,medio,privado,positivo,3,no,preparatoria,lejano,hombre,66
19,67,bajo,medio,no,5,92,elevado,si,0,medio,bajo,publico,positivo,3,no,universidad,cercano,hombre,64
12,92,medio,bajo,no,4,92,elevado,si,2,medio,elevado,publico,neutral,3,si,preparatoria,moderado,hombre,67
17,65,medio,elevado,si,8,66,medio,si,1,elevado,elevado,publico,neutral,4,si,posgrado,moderado,mujer,65
18,79,medio,bajo,si,7,79,medio,si,0,bajo,elevado,privado,neutral,3,no,universidad,lejano,hombre,65
15,98,elevado,medio,no,6,58,elevado,si,0,bajo,elevado,publico,positivo,3,no,universidad,cercano,hombre,69
19,67,medio,bajo,no,5,82,elevado,si,1,bajo,bajo,privado,negativo,3,no,preparatoria,cercano,hombre,63
22,99,medio,bajo,si,6,92,bajo,si,3,medio,bajo,publico,negativo,4,no,posgrado,moderado,hombre,72
31,100,medio,bajo,no,7,59,medio,si,2,elevado,elevado,publico,positivo,5,no,posgrado,moderado,hombre,76
21,82,medio,elevado,si,7,66,elevado,si,3,bajo,medio,publico,positivo,3,si,universidad,cercano,mujer,69
22,67,medio,bajo,si,7,72,elevado,si,3,bajo,elevado,publico,positivo,2,no,posgrado,moderado,mujer,67
20,73,elevado,medio,si,9,92,medio,si,2,medio,elevado,publico,positivo,3,no,universidad,cercano,hombre,69
8,77,elevado,medio,si,6,87,medio,si,0,bajo,medio,publico,neutral,2,no,preparatoria,moderado,hombre,63
20,72,medio,bajo,no,9,66,medio,si,3,bajo,elevado,privado,positivo,3,no,posgrado,cercano,hombre,67
20,71,bajo,elevado,si,7,62,elevado,si,2,medio,bajo,publico,negativo,5,no,universidad,cercano,hombre,66
35,99,elevado,elevado,si,7,85,bajo,si,2,medio,elevado,privado,neutral,2,no,posgrado,cercano,mujer,79
19,66,medio,bajo,no,8,74,medio,si,1,elevado,medio,publico,neutral,3,no,preparatoria,cercano,mujer,64
22,89,elevado,elevado,si,6,80,medio,si,1,elevado,elevado,publico,positivo,3,no,preparatoria,cercano,mujer,73
20,60,bajo,elevado,no,7,82,elevado,si,2,bajo,elevado,publico,positivo,4,si,preparatoria,cercano,hombre,63
13,84,medio,bajo,no,5,78,medio,si,1,bajo,elevado,publico,positivo,2,no,preparatoria,cercano,hombre,65
27,97,bajo,elevado,si,8,81,medio,si,0,elevado,medio,publico,positivo,5,no,preparatoria,cercano,mujer,73
25,72,elevado,elevado,si,8,94,bajo,si,2,bajo,medio,privado,positivo,4,no,universidad,moderado,mujer,70
25,67,elevado,medio,no,9,93,elevado,si,2,bajo,elevado,publico,positivo,3,si,preparatoria,cercano,mujer,68
15,86,medio,bajo,si,7,57,medio,si,1,medio,bajo,publico,negativo,3,no,universidad,cercano,hombre,65
28,89,bajo,elevado,si,9,79,elevado,si,0,bajo,medio,privado,positivo,1,no,universidad,moderado,mujer,71
12,88,bajo,medio,no,6,72,bajo,si,2,medio,bajo,publico,positivo,2,no,universidad,lejano,hombre,64
24,73,medio,elevado,si,8,64,medio,si,4,elevado,medio,privado,neutral,3,si,universidad,moderado,hombre,68
33,70,medio,bajo,si,6,82,bajo,si,1,bajo,elevado,publico,neutral,4,no,universidad,cercano,hombre,69
14,98,medio,bajo,no,7,76,medio,si,0,medio,elevado,privado,positivo,4,no,universidad,moderado,mujer,69
17,97,medio,bajo,no,8,89,medio,si,1,bajo,,publico,neutral,4,no,preparatoria,lejano,hombre,69
21,78,medio,bajo,si,10,55,medio,si,1,elevado,bajo,privado,positivo,2,no,universidad,cercano,hombre,67
17,94,bajo,medio,si,8,65,bajo,si,4,medio,bajo,publico,neutral,6,no,preparatoria,lejano,mujer,68
11,78,medio,elevado,si,8,51,medio,si,2,bajo,medio,publico,neutral,3,no,posgrado,cercano,hombre,64
20,77,medio,bajo,no,6,87,bajo,si,0,bajo,elevado,publico,positivo,4,no,preparatoria,cercano,mujer,66
14,66,elevado,bajo,no,7,96,medio,si,3,bajo,elevado,publico,negativo,3,no,preparatoria,cercano,hombre,63
23,77,medio,bajo,si,7,79,medio,si,0,bajo,elevado,publico,neutral,2,no,preparatoria,moderado,hombre,66
14,81,medio,bajo,no,9,81,medio,si,1,bajo,elevado,privado,negativo,3,no,posgrado,cercano,mujer,66
29,61,medio,elevado,si,7,52,bajo,si,3,bajo,medio,privado,positivo,3,no,universidad,cercano,mujer,67
15,78,elevado,elevado,no,9,75,bajo,si,1,bajo,medio,publico,negativo,1,no,preparatoria,cercano,hombre,65
18,91,bajo,medio,si,5,76,medio,si,1,medio,bajo,publico,neutral,3,no,preparatoria,cercano,mujer,68
25,87,medio,bajo,no,9,52,elevado,si,1,bajo,elevado,privado,positivo,2,no,preparatoria,cercano,hombre,68
13,85,elevado,medio,no,6,89,medio,si,0,elevado,medio,privado,neutral,1,si,preparatoria,cercano,hombre,65
21,96,medio,bajo,no,8,64,elevado,si,2,medio,elevado,publico,neutral,0,no,universidad,cercano,hombre,71
28,61,medio,elevado,no,6,86,elevado,si,1,bajo,medio,privado,negativo,3,si,posgrado,lejano,hombre,65
10,82,medio,bajo,no,8,70,medio,si,3,bajo,elevado,publico,positivo,1,si,posgrado,cercano,mujer,64
21,91,elevado,medio,no,6,100,medio,si,0,elevado,medio,privado,neutral,2,no,posgrado,cercano,mujer,72
22,82,medio,bajo,no,9,61,medio,si,2,bajo,medio,publico,negativo,2,si,preparatoria,cercano,mujer,65
25,73,medio,elevado,no,8,53,elevado,no,0,bajo,elevado,privado,negativo,5,no,posgrado,cercano,mujer,66
13,65,bajo,elevado,no,6,99,medio,si,0,bajo,medio,privado,negativo,4,no,preparatoria,cercano,hombre,61
12,96,bajo,elevado,si,8,62,medio,si,2,medio,elevado,publico,negativo,3,no,universidad,cercano,mujer,68
23,79,elevado,elevado,si,8,82,bajo,si,3,medio,bajo,publico,negativo,3,si,posgrado,moderado,mujer,69
22,95,medio,elevado,si,6,69,medio,si,1,bajo,medio,publico,positivo,3,no,universidad,cercano,mujer,72
22,83,medio,elevado,si,5,82,medio,si,2,bajo,elevado,publico,positivo,3,no,posgrado,cercano,mujer,71
22,87,elevado,elevado,no,5,80,bajo,si,2,bajo,elevado,publico,negativo,3,no,preparatoria,cercano,mujer,70
16,92,medio,elevado,si,5,85,bajo,si,1,bajo,medio,publico,neutral,2,no,preparatoria,moderado,hombre,68
21,86,bajo,medio,si,5,51,medio,si,2,bajo,elevado,publico,positivo,2,no,preparatoria,moderado,mujer,67
22,76,medio,bajo,si,8,92,medio,si,1,bajo,elevado,publico,neutral,4,no,preparatoria,cercano,mujer,68
16,81,medio,bajo,si,8,74,medio,si,3,medio,bajo,publico,positivo,2,no,posgrado,cercano,mujer,68
31,92,medio,bajo,si,4,76,medio,si,2,medio,elevado,publico,positivo,4,si,preparatoria,lejano,hombre,72
23,75,bajo,elevado,no,6,71,bajo,si,0,medio,bajo,publico,neutral,2,no,universidad,cercano,hombre,65
13,76,medio,elevado,no,5,99,bajo,si,2,medio,bajo,privado,positivo,4,no,preparatoria,cercano,mujer,66
24,64,medio,bajo,si,8,90,elevado,si,0,bajo,elevado,publico,negativo,3,no,preparatoria,cercano,hombre,65
14,97,medio,bajo,si,6,66,medio,si,2,medio,bajo,publico,negativo,3,si,universidad,cercano,mujer,67
25,64,medio,elevado,no,5,89,bajo,si,2,medio,bajo,publico,neutral,4,no,universidad,lejano,hombre,66
27,86,medio,bajo,no,7,72,bajo,si,1,medio,elevado,publico,positivo,4,no,preparatoria,lejano,hombre,69
15,77,medio,bajo,si,8,94,bajo,si,0,elevado,elevado,publico,positivo,3,no,universidad,moderado,hombre,66
26,76,medio,elevado,si,6,52,medio,si,4,elevado,bajo,publico,neutral,3,no,preparatoria,cercano,hombre,69
22,87,elevado,bajo,si,7,68,medio,no,0,bajo,medio,publico,neutral,2,no,preparatoria,cercano,hombre,67
25,63,elevado,medio,si,6,71,medio,si,1,medio,bajo,privado,positivo,3,no,preparatoria,cercano,hombre,66
31,84,medio,bajo,si,9,87,medio,si,2,bajo,medio,privado,neutral,3,no,universidad,lejano,hombre,71
19,91,elevado,bajo,no,6,59,medio,si,5,medio,elevado,publico,neutral,4,no,universidad,moderado,hombre,70
15,93,elevado,medio,no,6,64,medio,si,2,medio,elevado,publico,positivo,4,no,posgrado,cercano,hombre,71
15,67,medio,bajo,si,7,86,elevado,si,1,elevado,medio,privado,positivo,3,no,posgrado,cercano,hombre,66
15,96,medio,bajo,no,7,54,elevado,no,3,medio,elevado,publico,negativo,2,no,preparatoria,cercano,hombre,67
20,86,elevado,bajo,no,8,60,medio,si,1,medio,bajo,publico,neutral,4,si,universidad,lejano,mujer,66
22,95,medio,elevado,no,9,88,bajo,si,0,bajo,elevado,publico,positivo,2,no,posgrado,cercano,hombre,72
22,79,medio,bajo,no,9,94,medio,si,1,medio,bajo,publico,positivo,3,no,preparatoria,cercano,hombre,68
25,82,medio,bajo,no,6,86,medio,no,3,bajo,elevado,publico,positivo,3,no,preparatoria,cercano,mujer,69
20,97,medio,bajo,si,7,76,bajo,si,2,bajo,bajo,privado,positivo,3,no,posgrado,cercano,hombre,71
29,96,medio,bajo,si,9,55,bajo,no,0,medio,bajo,publico,neutral,2,no,posgrado,lejano,mujer,70
18,78,medio,bajo,no,9,91,elevado,si,2,elevado,bajo,publico,neutral,4,no,universidad,lejano,mujer,67
36,71,medio,bajo,si,6,56,medio,si,2,elevado,medio,publico,positivo,2,no,preparatoria,lejano,hombre,69
24,76,bajo,elevado,no,8,69,bajo,si,2,medio,bajo,publico,neutral,1,no,preparatoria,moderado,hombre,65
15,76,elevado,elevado,no,8,53,medio,si,1,bajo,medio,publico,neutral,4,no,universidad,cercano,hombre,65
14,71,medio,bajo,si,8,85,bajo,si,2,medio,elevado,publico,neutral,4,no,preparatoria,cercano,hombre,64
23,71,bajo,bajo,si,9,75,bajo,si,1,bajo,medio,publico,negativo,2,no,universidad,cercano,hombre,63
19,94,bajo,medio,si,5,95,medio,si,3,bajo,bajo,publico,positivo,2,no,preparatoria,moderado,hombre,69
24,63,medio,bajo,si,6,57,medio,si,1,bajo,elevado,privado,neutral,5,no,universidad,cercano,mujer,64
23,87,elevado,elevado,si,8,91,elevado,si,0,elevado,medio,privado,positivo,3,no,preparatoria,moderado,hombre,72
20,67,bajo,medio,si,7,76,medio,si,0,medio,bajo,publico,neutral,4,no,preparatoria,cercano,hombre,63
15,74,bajo,elevado,si,4,68,bajo,si,3,bajo,medio,publico,positivo,3,no,preparatoria,cercano,mujer,64
11,62,medio,elevado,si,5,82,medio,si,3,elevado,medio,privado,neutral,4,no,universidad,moderado,hombre,64
17,71,medio,bajo,si,8,90,medio,si,5,medio,bajo,publico,positivo,1,no,posgrado,lejano,hombre,67
25,91,medio,bajo,no,8,72,bajo,si,2,medio,elevado,publico,positivo,0,no,posgrado,cercano,hombre,71
21,95,medio,bajo,no,5,62,elevado,si,1,medio,bajo,publico,positivo,4,no,preparatoria,cercano,hombre,70
13,69,medio,bajo,si,9,96,bajo,si,0,elevado,medio,privado,neutral,4,no,preparatoria,lejano,mujer,61
21,79,medio,elevado,si,7,66,bajo,si,2,bajo,medio,publico,negativo,4,no,universidad,moderado,hombre,67
22,79,elevado,medio,no,5,100,medio,si,4,elevado,elevado,publico,negativo,3,no,universidad,cercano,hombre,72
15,95,bajo,bajo,si,6,88,bajo,si,1,bajo,medio,publico,negativo,5,no,preparatoria,cercano,hombre,66
21,91,medio,elevado,si,5,84,medio,si,1,elevado,bajo,publico,neutral,2,no,preparatoria,cercano,hombre,70
20,81,elevado,medio,si,6,51,elevado,no,3,medio,bajo,publico,neutral,4,si,preparatoria,cercano,hombre,67
13,87,elevado,bajo,si,4,72,medio,si,2,medio,elevado,publico,neutral,3,no,preparatoria,moderado,mujer,67
22,94,bajo,medio,si,7,75,elevado,si,2,elevado,medio,publico,neutral,2,no,universidad,cercano,mujer,71
23,60,elevado,medio,si,8,69,medio,si,1,bajo,medio,privado,positivo,4,no,universidad,cercano,hombre,66
26,76,medio,bajo,si,5,57,medio,si,1,medio,bajo,publico,positivo,4,no,preparatoria,cercano,hombre,68
26,96,medio,bajo,si,7,68,medio,si,3,elevado,medio,privado,positivo,3,no,universidad,cercano,mujer,74
12,90,medio,bajo,si,6,54,medio,no,1,elevado,medio,publico,neutral,3,no,preparatoria,cercano,hombre,64
14,82,medio,bajo,no,8,65,medio,si,1,bajo,medio,privado,positivo,3,no,universidad,cercano,hombre,65
23,81,bajo,medio,si,4,54,medio,si,1,bajo,medio,publico,neutral,3,no,universidad,cercano,hombre,66
23,74,medio,elevado,si,8,88,bajo,si,0,medio,elevado,publico,negativo,3,si,preparatoria,cercano,hombre,66
23,81,medio,bajo,no,4,84,medio,si,2,medio,bajo,publico,positivo,5,no,preparatoria,cercano,hombre,68
43,86,elevado,medio,si,7,97,medio,si,2,medio,elevado,publico,positivo,1,no,preparatoria,cercano,mujer,78
23,77,medio,elevado,si,6,69,bajo,si,1,medio,bajo,privado,positivo,2,no,preparatoria,moderado,mujer,67
27,89,medio,elevado,si,6,89,medio,si,3,medio,bajo,privado,positivo,3,no,preparatoria,cercano,hombre,74
26,94,medio,elevado,no,5,79,elevado,si,1,bajo,elevado,publico,positivo,2,no,posgrado,cercano,hombre,74
24,66,medio,bajo,no,9,82,bajo,si,1,medio,bajo,publico,neutral,2,si,preparatoria,cercano,mujer,62
18,78,elevado,medio,si,5,77,medio,no,2,medio,bajo,publico,neutral,4,no,preparatoria,lejano,hombre,66
25,76,medio,bajo,si,5,89,elevado,si,3,medio,elevado,publico,neutral,3,no,preparatoria,lejano,mujer,69
15,87,medio,elevado,si,10,52,medio,si,2,bajo,elevado,privado,positivo,3,no,universidad,cercano,hombre,68
19,70,medio,bajo,no,7,54,elevado,si,0,medio,bajo,publico,positivo,2,si,preparatoria,moderado,hombre,89
17,86,elevado,bajo,no,5,55,bajo,no,2,elevado,medio,privado,neutral,4,no,universidad,cercano,hombre,66
20,95,bajo,medio,si,7,64,bajo,no,2,medio,elevado,publico,neutral,3,no,preparatoria,cercano,mujer,68
34,77,medio,bajo,si,7,80,bajo,si,0,medio,bajo,publico,positivo,3,no,preparatoria,cercano,hombre,69
9,96,medio,bajo,si,4,82,elevado,no,0,bajo,medio,publico,positivo,4,no,universidad,cercano,hombre,67
24,100,elevado,elevado,si,6,86,bajo,si,2,medio,bajo,privado,positivo,5,no,preparatoria,cercano,hombre,75
10,64,medio,elevado,no,7,64,elevado,si,0,medio,bajo,publico,positivo,4,si,preparatoria,moderado,mujer,60
17,69,elevado,medio,si,9,83,medio,si,2,medio,elevado,privado,positivo,4,si,universidad,moderado,mujer,66
27,98,bajo,elevado,si,7,56,bajo,si,1,elevado,medio,privado,positivo,3,no,universidad,cercano,mujer,73
20,98,medio,bajo,no,7,50,bajo,si,1,medio,elevado,privado,neutral,2,no,preparatoria,cercano,mujer,68
14,64,medio,bajo,si,6,85,medio,si,0,medio,bajo,publico,neutral,3,no,preparatoria,cercano,hombre,62
16,61,medio,bajo,no,9,86,bajo,si,2,bajo,elevado,publico,positivo,2,no,preparatoria,cercano,hombre,62
24,66,elevado,bajo,si,8,81,elevado,si,1,medio,bajo,publico,neutral,4,no,preparatoria,lejano,hombre,65
16,100,elevado,bajo,si,8,63,elevado,si,2,bajo,medio,publico,negativo,3,no,preparatoria,moderado,hombre,69
21,67,medio,bajo,no,7,96,bajo,si,3,bajo,medio,publico,neutral,2,no,preparatoria,lejano,mujer,64
20,80,medio,elevado,no,5,94,medio,si,0,bajo,bajo,privado,positivo,4,si,posgrado,moderado,mujer,67
16,94,elevado,elevado,si,9,76,medio,si,0,bajo,elevado,publico,neutral,2,no,preparatoria,cercano,hombre,70
33,61,medio,bajo,no,7,99,elevado,si,2,medio,elevado,publico,neutral,3,no,universidad,cercano,mujer,70
