,etnia,nivel_educativo_de_los_padres,tipo_de_comida,curso_de_preparación_para_el_examen,porcentaje_de_matematicas,porcentaje_de_lectura,porcentaje_de_escritura,sexo
84,group_D,preparatoria,subsidiado,nada,0.42,0.39,0.34,hombre
85,group_C,algo_de_universidad,estandar,nada,0.73,0.8,0.82,mujer
86,group_C,algo_de_universidad,subsidiado,nada,0.76,0.83,0.88,mujer
87,group_D,tecnico_asociado,estandar,nada,0.71,0.71,0.74,mujer
88,group_A,algo_de_universidad,estandar,nada,0.58,0.7,0.67,mujer
89,group_D,algo_de_preparatoria,estandar,nada,0.73,0.86,0.82,mujer
90,group_C,licenciatura,estandar,nada,0.65,0.72,0.74,mujer
91,group_C,preparatoria,subsidiado,nada,0.27,0.34,0.36,hombre
92,group_C,preparatoria,estandar,nada,0.71,0.79,0.71,hombre
93,group_C,tecnico_asociado,subsidiado,completado,0.43,0.45,0.5,hombre
94,group_B,algo_de_universidad,estandar,nada,0.79,0.86,0.92,mujer
95,group_C,tecnico_asociado,subsidiado,completado,0.78,0.81,0.82,hombre
96,group_B,algo_de_preparatoria,estandar,completado,0.65,0.66,0.62,hombre
97,group_E,algo_de_universidad,estandar,completado,0.63,0.72,0.7,mujer
98,group_D,algo_de_universidad,subsidiado,nada,0.58,0.67,0.62,mujer
99,group_D,licenciatura,estandar,nada,0.65,0.67,0.62,mujer
100,group_B,algo_de_universidad,estandar,nada,0.79,0.67,0.67,hombre
101,group_D,licenciatura,estandar,completado,0.68,0.74,0.74,hombre
102,group_D,tecnico_asociado,estandar,nada,0.85,0.91,0.89,mujer
103,group_B,preparatoria,estandar,completado,0.6,0.44,0.47,hombre
104,group_C,algo_de_universidad,estandar,completado,0.98,0.86,0.9,hombre
105,group_C,algo_de_universidad,estandar,nada,0.58,0.67,0.72,mujer
106,group_D,maestria,estandar,nada,0.87,1.0,1.0,mujer
107,group_E,tecnico_asociado,estandar,completado,0.66,0.63,0.64,hombre
108,group_B,tecnico_asociado,subsidiado,nada,0.52,0.76,0.7,mujer
109,group_B,algo_de_preparatoria,estandar,nada,0.7,0.64,0.72,mujer
110,group_D,tecnico_asociado,subsidiado,completado,0.77,0.89,0.98,mujer
111,group_C,preparatoria,estandar,nada,0.62,0.55,0.49,hombre
112,group_A,tecnico_asociado,estandar,nada,0.54,0.53,0.47,hombre
113,group_D,algo_de_universidad,estandar,nada,0.51,0.58,0.54,mujer
114,group_E,licenciatura,estandar,completado,0.99,1.0,1.0,mujer
115,group_C,preparatoria,estandar,nada,0.84,0.77,0.74,hombre
116,group_B,licenciatura,subsidiado,nada,0.75,0.85,0.82,mujer
117,group_D,licenciatura,estandar,nada,0.78,0.82,0.79,mujer
118,group_D,algo_de_preparatoria,estandar,nada,0.51,0.63,0.61,mujer
119,group_C,algo_de_universidad,estandar,nada,0.55,0.69,0.65,mujer
120,group_C,licenciatura,estandar,completado,0.79,0.92,0.89,mujer
121,group_B,tecnico_asociado,estandar,completado,0.91,0.89,0.92,hombre
122,group_C,algo_de_universidad,estandar,completado,0.88,0.93,0.93,mujer
123,group_D,preparatoria,subsidiado,nada,0.63,0.57,0.56,hombre
124,group_E,algo_de_universidad,estandar,nada,0.83,0.8,0.73,hombre
125,group_B,preparatoria,estandar,nada,0.87,0.95,0.86,mujer
126,group_B,algo_de_preparatoria,estandar,nada,0.72,0.68,0.67,hombre
127,group_D,algo_de_universidad,estandar,completado,0.65,0.77,0.74,hombre
128,group_D,maestria,estandar,nada,0.82,0.82,0.74,hombre
129,group_A,licenciatura,estandar,nada,0.51,0.49,0.51,mujer
130,group_D,maestria,estandar,nada,0.89,0.84,0.82,hombre
131,group_C,algo_de_preparatoria,subsidiado,completado,0.53,0.37,0.4,hombre
132,group_E,algo_de_universidad,subsidiado,completado,0.87,0.74,0.7,hombre
133,group_C,algo_de_universidad,estandar,completado,0.75,0.81,0.84,mujer
134,group_D,licenciatura,subsidiado,completado,0.74,0.79,0.75,hombre
135,group_C,licenciatura,estandar,nada,0.58,0.55,0.48,hombre
136,group_B,algo_de_preparatoria,estandar,completado,0.51,0.54,0.41,hombre
137,group_E,preparatoria,estandar,nada,0.7,0.55,0.56,hombre
138,group_C,tecnico_asociado,estandar,nada,0.59,0.66,0.67,mujer
139,group_D,algo_de_universidad,estandar,completado,0.71,0.61,0.69,hombre
140,group_D,algo_de_preparatoria,estandar,nada,0.76,0.72,0.71,mujer
141,group_C,algo_de_universidad,subsidiado,nada,0.59,0.62,0.64,mujer
142,group_E,algo_de_universidad,subsidiado,completado,0.42,0.55,0.54,mujer
143,group_A,preparatoria,estandar,nada,0.57,0.43,0.47,hombre
144,group_D,algo_de_universidad,estandar,nada,0.88,0.73,0.78,hombre
145,group_C,algo_de_universidad,subsidiado,nada,0.22,0.39,0.33,mujer
146,group_B,algo_de_preparatoria,estandar,nada,0.88,0.84,0.75,hombre
147,group_C,tecnico_asociado,subsidiado,nada,0.73,0.68,0.66,hombre
148,group_D,licenciatura,estandar,completado,0.68,0.75,0.81,mujer
149,group_E,tecnico_asociado,subsidiado,completado,1.0,1.0,0.93,hombre
150,group_A,algo_de_preparatoria,estandar,completado,0.62,0.67,0.69,hombre
151,group_A,licenciatura,estandar,nada,0.77,0.67,0.68,hombre
152,group_B,tecnico_asociado,estandar,completado,0.59,0.7,0.66,mujer
153,group_D,licenciatura,estandar,nada,0.54,0.49,0.47,hombre
154,group_D,algo_de_preparatoria,estandar,nada,0.62,0.67,0.61,hombre
155,group_C,algo_de_universidad,estandar,completado,0.7,0.89,0.88,mujer
156,group_E,preparatoria,subsidiado,completado,0.66,0.74,0.78,mujer
157,group_B,algo_de_universidad,subsidiado,nada,0.6,0.6,0.6,hombre
158,group_B,tecnico_asociado,estandar,completado,0.61,0.86,0.87,mujer
159,group_D,tecnico_asociado,subsidiado,nada,0.66,0.62,0.64,hombre
160,group_B,tecnico_asociado,subsidiado,completado,0.82,0.78,0.74,hombre
161,group_E,algo_de_universidad,subsidiado,completado,0.75,0.88,0.85,mujer
162,group_B,maestria,subsidiado,nada,0.49,0.53,0.52,hombre
163,group_C,preparatoria,estandar,nada,0.52,0.53,0.49,hombre
164,group_E,maestria,estandar,nada,0.81,0.92,0.91,mujer
165,group_C,licenciatura,estandar,completado,0.96,1.0,1.0,mujer
166,group_C,preparatoria,subsidiado,completado,0.53,0.51,0.51,hombre
167,group_B,maestria,subsidiado,completado,0.58,0.76,0.78,mujer
168,group_B,preparatoria,estandar,completado,0.68,0.83,0.78,mujer
169,group_C,algo_de_universidad,subsidiado,completado,0.67,0.75,0.7,mujer
170,group_A,preparatoria,estandar,completado,0.72,0.73,0.74,hombre
171,group_E,algo_de_preparatoria,estandar,nada,0.94,0.88,0.78,hombre
172,group_D,algo_de_universidad,estandar,nada,0.79,0.86,0.81,mujer
173,group_C,tecnico_asociado,estandar,nada,0.63,0.67,0.7,mujer
174,group_C,licenciatura,subsidiado,completado,0.43,0.51,0.54,mujer
175,group_C,maestria,estandar,completado,0.81,0.91,0.87,mujer
176,group_B,preparatoria,subsidiado,completado,0.46,0.54,0.58,mujer
177,group_C,tecnico_asociado,estandar,completado,0.71,0.77,0.77,mujer
178,group_B,maestria,subsidiado,completado,0.52,0.7,0.62,mujer
179,group_D,algo_de_preparatoria,estandar,completado,0.97,1.0,1.0,mujer
180,group_C,maestria,subsidiado,completado,0.62,0.68,0.75,hombre
181,group_C,algo_de_universidad,subsidiado,nada,0.46,0.64,0.66,mujer
182,group_E,preparatoria,estandar,nada,0.5,0.5,0.47,mujer
183,group_D,tecnico_asociado,estandar,nada,0.65,0.69,0.7,mujer
184,group_C,algo_de_preparatoria,subsidiado,completado,0.45,0.52,0.49,hombre
185,group_C,tecnico_asociado,subsidiado,completado,0.65,0.67,0.65,hombre
186,group_E,preparatoria,estandar,nada,0.8,0.76,0.65,hombre
187,group_D,algo_de_preparatoria,estandar,completado,0.62,0.66,0.68,hombre
188,group_B,algo_de_preparatoria,subsidiado,nada,0.48,0.52,0.45,hombre
189,group_C,licenciatura,estandar,nada,0.77,0.88,0.87,mujer
190,group_E,tecnico_asociado,estandar,nada,0.66,0.65,0.69,mujer
191,group_D,algo_de_universidad,estandar,completado,0.76,0.83,0.79,hombre
192,group_B,algo_de_preparatoria,estandar,nada,0.62,0.64,0.66,mujer
193,group_D,algo_de_universidad,estandar,completado,0.77,0.62,0.62,hombre
194,group_C,maestria,estandar,completado,0.69,0.84,0.85,mujer
195,group_D,tecnico_asociado,estandar,nada,0.61,0.55,0.52,hombre
196,group_C,algo_de_preparatoria,subsidiado,completado,0.59,0.69,0.65,hombre
197,group_E,preparatoria,subsidiado,nada,0.55,0.56,0.51,hombre
198,group_B,algo_de_universidad,subsidiado,nada,0.45,0.53,0.55,mujer
199,group_B,licenciatura,subsidiado,nada,0.78,0.79,0.76,mujer
200,group_C,tecnico_asociado,estandar,completado,0.67,0.84,0.86,mujer
201,group_D,algo_de_universidad,subsidiado,nada,0.65,0.81,0.77,mujer
202,group_C,tecnico_asociado,estandar,nada,0.69,0.77,0.69,hombre
203,group_B,tecnico_asociado,estandar,nada,0.57,0.69,0.68,mujer
204,group_C,algo_de_universidad,estandar,nada,0.59,0.41,0.42,hombre
205,group_D,algo_de_preparatoria,estandar,completado,0.74,0.71,0.78,hombre
206,group_E,licenciatura,estandar,nada,0.82,0.62,0.62,hombre
207,group_E,preparatoria,estandar,completado,0.81,0.8,0.76,hombre
208,group_B,algo_de_universidad,subsidiado,nada,0.74,0.81,0.76,mujer
209,group_B,algo_de_universidad,subsidiado,nada,0.58,0.61,0.66,mujer
210,group_D,algo_de_preparatoria,subsidiado,completado,0.8,0.79,0.79,hombre
211,group_C,algo_de_universidad,subsidiado,nada,0.35,0.28,0.27,hombre
212,group_C,preparatoria,subsidiado,nada,0.42,0.62,0.6,mujer
213,group_C,tecnico_asociado,subsidiado,completado,0.6,0.51,0.56,hombre
214,group_E,preparatoria,estandar,completado,0.87,0.91,0.81,hombre
215,group_B,algo_de_preparatoria,estandar,completado,0.84,0.83,0.75,hombre
216,group_E,tecnico_asociado,subsidiado,completado,0.83,0.86,0.88,mujer
217,group_C,preparatoria,subsidiado,nada,0.34,0.42,0.39,mujer
218,group_B,preparatoria,subsidiado,nada,0.66,0.77,0.7,hombre
219,group_B,algo_de_preparatoria,estandar,completado,0.61,0.56,0.56,hombre
220,group_D,preparatoria,estandar,completado,0.56,0.68,0.74,mujer
221,group_B,tecnico_asociado,estandar,nada,0.87,0.85,0.73,hombre
222,group_C,algo_de_preparatoria,subsidiado,nada,0.55,0.65,0.62,mujer
223,group_D,algo_de_preparatoria,estandar,nada,0.86,0.8,0.75,hombre
224,group_B,tecnico_asociado,estandar,completado,0.52,0.66,0.73,mujer
225,group_E,maestria,subsidiado,nada,0.45,0.56,0.54,mujer
226,group_C,algo_de_universidad,estandar,nada,0.72,0.72,0.71,mujer
227,group_D,preparatoria,estandar,nada,0.57,0.5,0.54,hombre
228,group_A,algo_de_preparatoria,subsidiado,nada,0.68,0.72,0.64,hombre
229,group_C,algo_de_universidad,estandar,completado,0.88,0.95,0.94,mujer
230,group_D,algo_de_universidad,estandar,nada,0.76,0.64,0.66,hombre
231,group_C,tecnico_asociado,estandar,nada,0.46,0.43,0.42,hombre
232,group_B,licenciatura,estandar,nada,0.67,0.86,0.83,mujer
233,group_E,algo_de_preparatoria,estandar,nada,0.92,0.87,0.78,hombre
234,group_C,licenciatura,estandar,completado,0.83,0.82,0.84,hombre
235,group_D,tecnico_asociado,estandar,nada,0.8,0.75,0.77,hombre
236,group_D,licenciatura,subsidiado,nada,0.63,0.66,0.67,hombre
237,group_D,algo_de_preparatoria,estandar,completado,0.64,0.6,0.74,mujer
238,group_B,algo_de_universidad,estandar,nada,0.54,0.52,0.51,hombre
239,group_C,tecnico_asociado,estandar,nada,0.84,0.8,0.8,hombre
240,group_D,preparatoria,subsidiado,completado,0.73,0.68,0.66,hombre
241,group_E,licenciatura,estandar,nada,0.8,0.83,0.83,mujer
242,group_D,preparatoria,estandar,nada,0.56,0.52,0.55,mujer
243,group_E,algo_de_universidad,estandar,nada,0.59,0.51,0.43,hombre
244,group_D,algo_de_preparatoria,estandar,nada,0.75,0.74,0.69,hombre
245,group_C,tecnico_asociado,estandar,nada,0.85,0.76,0.71,hombre
246,group_E,tecnico_asociado,estandar,nada,0.89,0.76,0.74,hombre
247,group_B,preparatoria,estandar,completado,0.58,0.7,0.68,mujer
248,group_B,preparatoria,estandar,nada,0.65,0.64,0.62,mujer
249,group_C,preparatoria,estandar,nada,0.68,0.6,0.53,hombre
250,group_A,algo_de_preparatoria,estandar,completado,0.47,0.49,0.49,hombre
251,group_D,algo_de_universidad,subsidiado,nada,0.71,0.83,0.83,mujer
252,group_B,algo_de_preparatoria,estandar,completado,0.6,0.7,0.7,mujer
253,group_D,maestria,estandar,nada,0.8,0.8,0.72,hombre
254,group_D,preparatoria,estandar,nada,0.54,0.52,0.52,hombre
255,group_E,algo_de_universidad,estandar,nada,0.62,0.73,0.7,mujer
256,group_C,tecnico_asociado,subsidiado,nada,0.64,0.73,0.68,mujer
257,group_C,tecnico_asociado,estandar,completado,0.78,0.77,0.77,hombre
258,group_B,algo_de_universidad,estandar,nada,0.7,0.75,0.78,mujer
259,group_C,maestria,subsidiado,completado,0.65,0.81,0.81,mujer
260,group_C,algo_de_preparatoria,subsidiado,completado,0.64,0.79,0.77,mujer
261,group_C,algo_de_universidad,estandar,completado,0.79,0.79,0.78,hombre
262,group_C,algo_de_preparatoria,subsidiado,nada,0.44,0.5,0.51,mujer
263,group_E,preparatoria,estandar,nada,0.99,0.93,0.9,mujer
264,group_D,preparatoria,estandar,nada,0.76,0.73,0.68,hombre
265,group_D,algo_de_preparatoria,subsidiado,nada,0.59,0.42,0.41,hombre
266,group_C,licenciatura,estandar,nada,0.63,0.75,0.81,mujer
267,group_D,preparatoria,estandar,nada,0.69,0.72,0.77,mujer
268,group_D,tecnico_asociado,estandar,completado,0.88,0.92,0.95,mujer
269,group_E,algo_de_universidad,subsidiado,nada,0.71,0.76,0.7,mujer
270,group_C,licenciatura,estandar,nada,0.69,0.63,0.61,hombre
271,group_C,algo_de_universidad,estandar,nada,0.58,0.49,0.42,hombre
272,group_D,tecnico_asociado,subsidiado,nada,0.47,0.53,0.58,mujer
273,group_D,algo_de_universidad,estandar,nada,0.65,0.7,0.71,mujer
274,group_B,algo_de_universidad,estandar,completado,0.88,0.85,0.76,hombre
275,group_C,licenciatura,estandar,nada,0.83,0.78,0.73,hombre
276,group_C,algo_de_preparatoria,estandar,completado,0.85,0.92,0.93,mujer
277,group_E,preparatoria,estandar,completado,0.59,0.63,0.75,mujer
278,group_C,algo_de_preparatoria,subsidiado,nada,0.65,0.86,0.8,mujer
279,group_B,licenciatura,subsidiado,nada,0.73,0.56,0.57,hombre
280,group_D,preparatoria,estandar,nada,0.53,0.52,0.42,hombre
281,group_D,preparatoria,estandar,nada,0.45,0.48,0.46,hombre
282,group_D,licenciatura,subsidiado,nada,0.73,0.79,0.84,mujer
283,group_D,algo_de_universidad,subsidiado,completado,0.7,0.78,0.78,mujer
284,group_B,algo_de_preparatoria,estandar,nada,0.37,0.46,0.46,mujer
285,group_B,tecnico_asociado,estandar,completado,0.81,0.82,0.82,hombre
286,group_E,tecnico_asociado,estandar,completado,0.97,0.82,0.88,hombre
287,group_B,algo_de_preparatoria,estandar,nada,0.67,0.89,0.82,mujer
288,group_B,licenciatura,subsidiado,nada,0.88,0.75,0.76,hombre
289,group_E,algo_de_preparatoria,estandar,completado,0.77,0.76,0.77,hombre
290,group_C,tecnico_asociado,estandar,nada,0.76,0.7,0.68,hombre
291,group_D,algo_de_preparatoria,estandar,nada,0.86,0.73,0.7,hombre
292,group_C,algo_de_preparatoria,estandar,completado,0.63,0.6,0.57,hombre
293,group_E,licenciatura,estandar,nada,0.65,0.73,0.75,mujer
294,group_D,preparatoria,subsidiado,completado,0.78,0.77,0.8,hombre
295,group_B,tecnico_asociado,subsidiado,nada,0.67,0.62,0.6,hombre
296,group_A,algo_de_preparatoria,estandar,completado,0.46,0.41,0.43,hombre
297,group_E,tecnico_asociado,estandar,completado,0.71,0.74,0.68,hombre
298,group_C,preparatoria,subsidiado,completado,0.4,0.46,0.5,hombre
299,group_D,tecnico_asociado,subsidiado,nada,0.9,0.87,0.75,hombre
300,group_A,algo_de_universidad,subsidiado,completado,0.81,0.78,0.81,hombre
301,group_D,algo_de_preparatoria,subsidiado,nada,0.56,0.54,0.52,hombre
302,group_C,tecnico_asociado,estandar,completado,0.67,0.84,0.81,mujer
303,group_B,tecnico_asociado,estandar,nada,0.8,0.76,0.64,hombre
304,group_C,tecnico_asociado,estandar,completado,0.74,0.75,0.83,mujer
305,group_A,algo_de_universidad,estandar,nada,0.69,0.67,0.69,hombre
306,group_E,algo_de_universidad,estandar,completado,0.99,0.87,0.81,hombre
307,group_C,algo_de_preparatoria,estandar,nada,0.51,0.52,0.44,hombre
308,group_B,tecnico_asociado,subsidiado,nada,0.53,0.71,0.67,mujer
309,group_D,preparatoria,subsidiado,nada,0.49,0.57,0.52,mujer
310,group_B,tecnico_asociado,estandar,nada,0.73,0.76,0.8,mujer
311,group_B,licenciatura,estandar,nada,0.66,0.6,0.57,hombre
312,group_D,licenciatura,estandar,completado,0.67,0.61,0.68,hombre
313,group_C,tecnico_asociado,subsidiado,completado,0.68,0.67,0.69,mujer
314,group_C,licenciatura,estandar,completado,0.59,0.64,0.75,mujer
315,group_C,preparatoria,estandar,nada,0.71,0.66,0.65,hombre
316,group_D,maestria,estandar,completado,0.77,0.82,0.91,mujer
317,group_C,tecnico_asociado,estandar,nada,0.83,0.72,0.78,hombre
318,group_B,licenciatura,estandar,nada,0.63,0.71,0.69,hombre
319,group_D,tecnico_asociado,subsidiado,nada,0.56,0.65,0.63,mujer
320,group_C,preparatoria,subsidiado,completado,0.67,0.79,0.84,mujer
321,group_E,preparatoria,estandar,nada,0.75,0.86,0.79,mujer
322,group_C,algo_de_universidad,estandar,nada,0.71,0.81,0.8,mujer
323,group_C,algo_de_preparatoria,subsidiado,nada,0.43,0.53,0.53,mujer
324,group_C,preparatoria,subsidiado,nada,0.41,0.46,0.43,mujer
325,group_C,algo_de_universidad,estandar,nada,0.82,0.9,0.94,mujer
326,group_C,algo_de_universidad,estandar,nada,0.61,0.61,0.62,hombre
327,group_A,algo_de_universidad,subsidiado,nada,0.28,0.23,0.19,hombre
328,group_C,tecnico_asociado,estandar,completado,0.82,0.75,0.77,hombre
329,group_B,algo_de_preparatoria,estandar,nada,0.41,0.55,0.51,mujer
330,group_C,preparatoria,estandar,nada,0.71,0.6,0.61,hombre
331,group_C,tecnico_asociado,estandar,nada,0.47,0.37,0.35,hombre
332,group_E,tecnico_asociado,estandar,completado,0.62,0.56,0.53,hombre
333,group_B,tecnico_asociado,estandar,nada,0.9,0.78,0.81,hombre
334,group_C,licenciatura,estandar,nada,0.83,0.93,0.95,mujer
335,group_B,algo_de_universidad,subsidiado,nada,0.61,0.68,0.66,mujer
336,group_D,algo_de_preparatoria,estandar,completado,0.76,0.7,0.69,hombre
337,group_C,tecnico_asociado,estandar,nada,0.49,0.51,0.43,hombre
338,group_B,algo_de_preparatoria,subsidiado,nada,0.24,0.38,0.27,mujer
339,group_D,algo_de_preparatoria,subsidiado,completado,0.35,0.55,0.6,mujer
340,group_C,preparatoria,subsidiado,nada,0.58,0.61,0.52,hombre
341,group_C,preparatoria,estandar,nada,0.61,0.73,0.63,mujer
342,group_B,preparatoria,estandar,completado,0.69,0.76,0.74,mujer
343,group_D,tecnico_asociado,estandar,completado,0.67,0.72,0.67,hombre
344,group_D,algo_de_universidad,estandar,nada,0.79,0.73,0.67,hombre
345,group_C,preparatoria,estandar,nada,0.72,0.8,0.75,mujer
346,group_B,algo_de_universidad,estandar,nada,0.62,0.61,0.57,hombre
347,group_C,licenciatura,estandar,completado,0.77,0.94,0.95,mujer
348,group_D,preparatoria,subsidiado,nada,0.75,0.74,0.66,hombre
349,group_E,tecnico_asociado,estandar,nada,0.87,0.74,0.76,hombre
350,group_B,licenciatura,estandar,nada,0.52,0.65,0.69,mujer
351,group_E,algo_de_universidad,estandar,nada,0.66,0.57,0.52,hombre
352,group_C,algo_de_universidad,estandar,completado,0.63,0.78,0.8,mujer
353,group_C,tecnico_asociado,estandar,nada,0.46,0.58,0.57,mujer
354,group_C,algo_de_universidad,estandar,nada,0.59,0.71,0.7,mujer
355,group_B,licenciatura,estandar,nada,0.61,0.72,0.7,mujer
356,group_A,tecnico_asociado,estandar,nada,0.63,0.61,0.61,hombre
357,group_C,algo_de_universidad,subsidiado,completado,0.42,0.66,0.69,mujer
358,group_D,algo_de_universidad,subsidiado,nada,0.59,0.62,0.61,hombre
359,group_D,algo_de_universidad,estandar,nada,0.8,0.9,0.89,mujer
360,group_B,preparatoria,estandar,nada,0.58,0.62,0.59,mujer
361,group_B,algo_de_preparatoria,estandar,completado,0.85,0.84,0.78,hombre
362,group_C,algo_de_universidad,estandar,nada,0.52,0.58,0.58,mujer
363,group_D,algo_de_preparatoria,subsidiado,nada,0.27,0.34,0.32,mujer
364,group_C,algo_de_universidad,estandar,nada,0.59,0.6,0.58,hombre
